Todo;Código postal;Municipio
42115 Miño de Medinaceli;42115; Miño de Medinaceli
42116 Miño de San Esteban;42116; Miño de San Esteban
19185 Miñosa, La;19185; Miñosa, La
16126 Mira;16126; Mira
10123 Mirabel;10123; Mirabel
19186 Mirabueno;19186; Mirabueno
28085 Miraflores de la Sierra;28085; Miraflores de la Sierra
31170 Mirafuentes;31170; Mirafuentes
25135 Miralcamp;25135; Miralcamp
19187 Miralrío;19187; Miralrío
46168 Miramar;46168; Miramar
44149 Mirambel;44149; Mirambel
31171 Miranda de Arga;31171; Miranda de Arga
37192 Miranda de Azán;37192; Miranda de Azán
09219 Miranda de Ebro;09219; Miranda de Ebro
37193 Miranda del Castañar;37193; Miranda del Castañar
06084 Mirandilla;06084; Mirandilla
09220 Miraveche;09220; Miraveche
43084 Miravet;43084; Miravet
44150 Miravete de la Sierra;44150; Miravete de la Sierra
05129 Mirón, El;05129; Mirón, El
05130 Mironcillo;05130; Mironcillo
05131 Mirueña de los Infanzones;05131; Mirueña de los Infanzones
46169 Mislata;46169; Mislata
36029 Moaña;36029; Moaña
45102 Mocejón;45102; Mocejón
19188 Mochales;19188; Mochales
18132 Moclín;18132; Moclín
29071 Moclinejo;29071; Moclinejo
09221 Modúbar de la Emparedada;09221; Modúbar de la Emparedada
15049 Moeche;15049; Moeche
35012 Mogán;35012; Mogán
37194 Mogarraz;37194; Mogarraz
46170 Mogente/Moixent;46170; Mogente/Moixent
21050 Moguer;21050; Moguer
10124 Mohedas de Granadilla;10124; Mohedas de Granadilla
45103 Mohedas de la Jara;45103; Mohedas de la Jara
19189 Mohernando;19189; Mohernando
08138 Moià;08138; Moià
04064 Mojácar;04064; Mojácar
47090 Mojados;47090; Mojados
04903 Mojonera, La;04903; Mojonera, La
49119 Molacillos;49119; Molacillos
28086 Molar, El;28086; Molar, El
43085 Molar, El;43085; Molar, El
41063 Molares, Los;41063; Molares, Los
49120 Molezuelas de la Carballeda;49120; Molezuelas de la Carballeda
19190 Molina de Aragón;19190; Molina de Aragón
30027 Molina de Segura;30027; Molina de Segura
24100 Molinaseca;24100; Molinaseca
02049 Molinicos;02049; Molinicos
37195 Molinillo;37195; Molinillo
44151 Molinos;44151; Molinos
42117 Molinos de Duero;42117; Molinos de Duero
28087 Molinos, Los;28087; Molinos, Los
08123 Molins de Rei;08123; Molins de Rei
39046 Molledo;39046; Molledo
25137 Mollerussa;25137; Mollerussa
17106 Mollet de Peralada;17106; Mollet de Peralada
08124 Mollet del Vallès;08124; Mollet del Vallès
29072 Mollina;29072; Mollina
17107 Molló;17107; Molló
25136 Molsosa, La;25136; Molsosa, La
18133 Molvízar;18133; Molvízar
05132 Mombeltrán;05132; Mombeltrán
42118 Momblona;42118; Momblona
49121 Mombuey;49121; Mombuey
18134 Monachil;18134; Monachil
19191 Monasterio;19191; Monasterio
09223 Monasterio de la Sierra;09223; Monasterio de la Sierra
09224 Monasterio de Rodilla;09224; Monasterio de Rodilla
47091 Monasterio de Vega;47091; Monasterio de Vega
46171 Moncada;46171; Moncada
09225 Moncalvillo;09225; Moncalvillo
12077 Moncofa;12077; Moncofa
29073 Monda;29073; Monda
36030 Mondariz;36030; Mondariz
36031 Mondariz-Balneario;36031; Mondariz-Balneario
19192 Mondéjar;19192; Mondéjar
27030 Mondoñedo;27030; Mondoñedo
50170 Monegrillo;50170; Monegrillo
22155 Monesma y Cajigar;22155; Monesma y Cajigar
06085 Monesterio;06085; Monesterio
50171 Moneva;50171; Moneva
49122 Monfarracinos;49122; Monfarracinos
15050 Monfero;15050; Monfero
22156 Monflorite-Lascasas;22156; Monflorite-Lascasas
37196 Monforte de la Sierra;37196; Monforte de la Sierra
27031 Monforte de Lemos;27031; Monforte de Lemos
44152 Monforte de Moyuela;44152; Monforte de Moyuela
03088 Monforte del Cid;03088; Monforte del Cid
08128 Monistrol de Calders;08128; Monistrol de Calders
08127 Monistrol de Montserrat;08127; Monistrol de Montserrat
37197 Monleón;37197; Monleón
37198 Monleras;37198; Monleras
03089 Monóvar/Monòver;03089; Monóvar/Monòver
50172 Monreal de Ariza;50172; Monreal de Ariza
44153 Monreal del Campo;44153; Monreal del Campo
16128 Monreal del Llano;16128; Monreal del Llano
31172 Monreal/Elo;31172; Monreal/Elo
10125 Monroy;10125; Monroy
44154 Monroyo;44154; Monroyo
37199 Monsagro;37199; Monsagro
05133 Monsalupe;05133; Monsalupe
17109 Montagut i Oix;17109; Montagut i Oix
44155 Montalbán;44155; Montalbán
14040 Montalbán de Córdoba;14040; Montalbán de Córdoba
16129 Montalbanejo;16129; Montalbanejo
16130 Montalbo;16130; Montalbo
02050 Montalvos;02050; Montalvos
49123 Montamarta;49123; Montamarta
12078 Montán;12078; Montán
10126 Montánchez;10126; Montánchez
12079 Montanejos;12079; Montanejos
22157 Montanuy;22157; Montanuy
19193 Montarrón;19193; Montarrón
46173 Montaverner;46173; Montaverner
43086 Montblanc;43086; Montblanc
43088 Montbrió del Camp;43088; Montbrió del Camp
08125 Montcada i Reixac;08125; Montcada i Reixac
08130 Montclar;08130; Montclar
31173 Monteagudo;31173; Monteagudo
16131 Monteagudo de las Salinas;16131; Monteagudo de las Salinas
42119 Monteagudo de las Vicarías;42119; Monteagudo de las Vicarías
44156 Monteagudo del Castillo;44156; Monteagudo del Castillo
47092 Montealegre de Campos;47092; Montealegre de Campos
02051 Montealegre del Castillo;02051; Montealegre del Castillo
45104 Montearagón;45104; Montearagón
29903 Montecorto;29903; Montecorto
32049 Montederramo;32049; Montederramo
18135 Montefrío;18135; Montefrío
10127 Montehermoso;10127; Montehermoso
29074 Montejaque;29074; Montejaque
18136 Montejícar;18136; Montejícar
37200 Montejo;37200; Montejo
40129 Montejo de Arévalo;40129; Montejo de Arévalo
28088 Montejo de la Sierra;28088; Montejo de la Sierra
40130 Montejo de la Vega de la Serrezuela;40130; Montejo de la Vega de la Serrezuela
42120 Montejo de Tiermes;42120; Montejo de Tiermes
25139 Montellà i Martinet;25139; Montellà i Martinet
41064 Montellano;41064; Montellano
14041 Montemayor;14041; Montemayor
47093 Montemayor de Pililla;47093; Montemayor de Pililla
37201 Montemayor del Río;37201; Montemayor del Río
06086 Montemolín;06086; Montemolín
42121 Montenegro de Cameros;42121; Montenegro de Cameros
50173 Monterde;50173; Monterde
44157 Monterde de Albarracín;44157; Monterde de Albarracín
32050 Monterrei;32050; Monterrei
27032 Monterroso;27032; Monterroso
40131 Monterrubio;40131; Monterrubio
37202 Monterrubio de Armuña;37202; Monterrubio de Armuña
09226 Monterrubio de la Demanda;09226; Monterrubio de la Demanda
06087 Monterrubio de la Serena;06087; Monterrubio de la Serena
37203 Monterrubio de la Sierra;37203; Monterrubio de la Sierra
46174 Montesa;46174; Montesa
45105 Montesclaros;45105; Montesclaros
03903 Montesinos, Los;03903; Montesinos, Los
08131 Montesquiu;08131; Montesquiu
25140 Montferrer i Castellbò;25140; Montferrer i Castellbò
43089 Montferri;43089; Montferri
25138 Montgai;25138; Montgai
08126 Montgat;08126; Montgat
13057 Montiel;13057; Montiel
06088 Montijo;06088; Montijo
14042 Montilla;14042; Montilla
18137 Montillana;18137; Montillana
46175 Montitxelvo/Montichelvo;46175; Montitxelvo/Montichelvo
23062 Montizón;23062; Montizón
08132 Montmajor;08132; Montmajor
08133 Montmaneu;08133; Montmaneu
43090 Montmell, El;43090; Montmell, El
08135 Montmeló;08135; Montmeló
25142 Montoliu de Lleida;25142; Montoliu de Lleida
25141 Montoliu de Segarra;25141; Montoliu de Segarra
50174 Montón;50174; Montón
09227 Montorio;09227; Montorio
25143 Montornès de Segarra;25143; Montornès de Segarra
08136 Montornès del Vallès;08136; Montornès del Vallès
14043 Montoro;14043; Montoro
43091 Mont-ral;43091; Mont-ral
17110 Mont-ras;17110; Mont-ras
43092 Mont-roig del Camp;43092; Mont-roig del Camp
46176 Montroi/Montroy;46176; Montroi/Montroy
08137 Montseny;08137; Montseny
46172 Montserrat;46172; Montserrat
07038 Montuïri;07038; Montuïri
14044 Monturque;14044; Monturque
22158 Monzón;22158; Monzón
34108 Monzón de Campos;34108; Monzón de Campos
45106 Mora;45106; Mora
44158 Mora de Rubielos;44158; Mora de Rubielos
43093 Móra d'Ebre;43093; Móra d'Ebre
43094 Móra la Nova;43094; Móra la Nova
09228 Moradillo de Roa;09228; Moradillo de Roa
13058 Moral de Calatrava;13058; Moral de Calatrava
40132 Moral de Hornuez;40132; Moral de Hornuez
47094 Moral de la Reina;47094; Moral de la Reina
49124 Moral de Sayago;49124; Moral de Sayago
18138 Moraleda de Zafayona;18138; Moraleda de Zafayona
10128 Moraleja;10128; Moraleja
28089 Moraleja de Enmedio;28089; Moraleja de Enmedio
47095 Moraleja de las Panaderas;47095; Moraleja de las Panaderas
05134 Moraleja de Matacabras;05134; Moraleja de Matacabras
49126 Moraleja de Sayago;49126; Moraleja de Sayago
49125 Moraleja del Vino;49125; Moraleja del Vino
47096 Morales de Campos;47096; Morales de Campos
49128 Morales de Rey;49128; Morales de Rey
49129 Morales de Toro;49129; Morales de Toro
49130 Morales de Valverde;49130; Morales de Valverde
49127 Morales del Vino;49127; Morales del Vino
49131 Moralina;49131; Moralina
28090 Moralzarzal;28090; Moralzarzal
36032 Moraña;36032; Moraña
37204 Morasverdes;37204; Morasverdes
50175 Morata de Jalón;50175; Morata de Jalón
50176 Morata de Jiloca;50176; Morata de Jiloca
28091 Morata de Tajuña;28091; Morata de Tajuña
30028 Moratalla;30028; Moratalla
19194 Moratilla de los Meleros;19194; Moratilla de los Meleros
34109 Moratinos;34109; Moratinos
10129 Morcillo;10129; Morcillo
33038 Morcín;33038; Morcín
01039 Moreda de Álava/Moreda Araba;01039; Moreda de Álava/Moreda Araba
18909 Morelábor;18909; Morelábor
43095 Morell, El;43095; Morell, El
12080 Morella;12080; Morella
19195 Morenilla;19195; Morenilla
31174 Morentin;31174; Morentin
43096 Morera de Montsant, La;43096; Morera de Montsant, La
06089 Morera, La;06089; Morera, La
49132 Moreruela de los Infanzones;49132; Moreruela de los Infanzones
49133 Moreruela de Tábara;49133; Moreruela de Tábara
50177 Morés;50177; Morés
48066 Morga;48066; Morga
14045 Moriles;14045; Moriles
37205 Morille;37205; Morille
37206 Moríñigo;37206; Moríñigo
37207 Moriscos;37207; Moriscos
42123 Morón de Almazán;42123; Morón de Almazán
41065 Morón de la Frontera;41065; Morón de la Frontera
37208 Moronta;37208; Moronta
50178 Moros;50178; Moros
36033 Mos;36033; Mos
44159 Moscardón;44159; Moscardón
44160 Mosqueruela;44160; Mosqueruela
28092 Móstoles;28092; Móstoles
16132 Mota de Altarejos;16132; Mota de Altarejos
16133 Mota del Cuervo;16133; Mota del Cuervo
47097 Mota del Marqués;47097; Mota del Marqués
16134 Motilla del Palancar;16134; Motilla del Palancar
02052 Motilleja;02052; Motilleja
18140 Motril;18140; Motril
35013 Moya;35013; Moya
16135 Moya;16135; Moya
50179 Moyuela;50179; Moyuela
37209 Mozárbez;37209; Mozárbez
40134 Mozoncillo;40134; Mozoncillo
50180 Mozota;50180; Mozota
47098 Mucientes;47098; Mucientes
34110 Mudá;34110; Mudá
47099 Mudarra, La;47099; Mudarra, La
19196 Muduex;19196; Muduex
50181 Muel;50181; Muel
50182 Muela, La;50182; Muela, La
49134 Muelas de los Caballeros;49134; Muelas de los Caballeros
49135 Muelas del Pan;49135; Muelas del Pan
31175 Mues;31175; Mues
49136 Muga de Sayago;49136; Muga de Sayago
15051 Mugardos;15051; Mugardos
32051 Muíños;32051; Muíños
30029 Mula;30029; Mula
48068 Mundaka;48068; Mundaka
50183 Munébrega;50183; Munébrega
02053 Munera;02053; Munera
48069 Mungia;48069; Mungia
44161 Muniesa;44161; Muniesa
26098 Munilla;26098; Munilla
48007 Munitibar-Arbatzegi Gerrikaitz;48007; Munitibar-Arbatzegi Gerrikaitz
08129 Muntanyola;08129; Muntanyola
05135 Muñana;05135; Muñana
05136 Muñico;05136; Muñico
05138 Muñogalindo;05138; Muñogalindo
05139 Muñogrande;05139; Muñogrande
05140 Muñomer del Peco;05140; Muñomer del Peco
40135 Muñopedro;40135; Muñopedro
05141 Muñopepe;05141; Muñopepe
05142 Muñosancho;05142; Muñosancho
05143 Muñotello;05143; Muñotello
40136 Muñoveros;40136; Muñoveros
08139 Mura;08139; Mura
27033 Muras;27033; Muras
31176 Murchante;31176; Murchante
30030 Murcia;30030; Murcia
50184 Murero;50184; Murero
24101 Murias de Paredes;24101; Murias de Paredes
47100 Muriel;47100; Muriel
42124 Muriel de la Fuente;42124; Muriel de la Fuente
42125 Muriel Viejo;42125; Muriel Viejo
31177 Murieta;31177; Murieta
50185 Murillo de Gállego;50185; Murillo de Gállego
26099 Murillo de Río Leza;26099; Murillo de Río Leza
31178 Murillo el Cuende;31178; Murillo el Cuende
31179 Murillo el Fruto;31179; Murillo el Fruto
03091 Murla;03091; Murla
07039 Muro;07039; Muro
26100 Muro de Aguas;26100; Muro de Aguas
03092 Muro de Alcoy;03092; Muro de Alcoy
26101 Muro en Cameros;26101; Muro en Cameros
15053 Muros;15053; Muros
33039 Muros de Nalón;33039; Muros de Nalón
18141 Murtas;18141; Murtas
48908 Murueta;48908; Murueta
31180 Muruzábal;31180; Muruzábal
46177 Museros;46177; Museros
48071 Muskiz;48071; Muskiz
20057 Mutiloa;20057; Mutiloa
20056 Mutriku;20056; Mutriku
03090 Mutxamel;03090; Mutxamel
15052 Muxía;15052; Muxía
48067 Muxika;48067; Muxika
48909 Nabarniz;48909; Nabarniz
04065 Nacimiento;04065; Nacimiento
42127 Nafría de Ucero;42127; Nafría de Ucero
26102 Nájera;26102; Nájera
26103 Nalda;26103; Nalda
25145 Nalec;25145; Nalec
45107 Nambroca;45107; Nambroca
46178 Nàquera/Náquera;46178; Nàquera/Náquera
16137 Narboneta;16137; Narboneta
15054 Narón;15054; Narón
05144 Narrillos del Álamo;05144; Narrillos del Álamo
05145 Narrillos del Rebollar;05145; Narrillos del Rebollar
42128 Narros;42128; Narros
37211 Narros de Matalayegua;37211; Narros de Matalayegua
05149 Narros de Saldueña;05149; Narros de Saldueña
05147 Narros del Castillo;05147; Narros del Castillo
05148 Narros del Puerto;05148; Narros del Puerto
25025 Naut Aran;25025; Naut Aran
33040 Nava;33040; Nava
05152 Nava de Arévalo;05152; Nava de Arévalo
37213 Nava de Béjar;37213; Nava de Béjar
37214 Nava de Francia;37214; Nava de Francia
40138 Nava de la Asunción;40138; Nava de la Asunción
45108 Nava de Ricomalillo, La;45108; Nava de Ricomalillo, La
09229 Nava de Roa;09229; Nava de Roa
06090 Nava de Santiago, La;06090; Nava de Santiago, La
37215 Nava de Sotrobal;37215; Nava de Sotrobal
05153 Nava del Barco;05153; Nava del Barco
47101 Nava del Rey;47101; Nava del Rey
21051 Nava, La;21051; Nava, La
37212 Navacarros;37212; Navacarros
05151 Navacepedilla de Corneja;05151; Navacepedilla de Corneja
28093 Navacerrada;28093; Navacerrada
10130 Navaconcejo;10130; Navaconcejo
05154 Navadijos;05154; Navadijos
05155 Navaescurial;05155; Navaescurial
40139 Navafría;40139; Navafría
45109 Navahermosa;45109; Navahermosa
05156 Navahondilla;05156; Navahondilla
12081 Navajas;12081; Navajas
26104 Navajún;26104; Navajún
22160 Naval;22160; Naval
05157 Navalacruz;05157; Navalacruz
28094 Navalafuente;28094; Navalafuente
28095 Navalagamella;28095; Navalagamella
45110 Navalcán;45110; Navalcán
28096 Navalcarnero;28096; Navalcarnero
42129 Navaleno;42129; Navaleno
37216 Navales;37216; Navales
40140 Navalilla;40140; Navalilla
40141 Navalmanzano;40141; Navalmanzano
05158 Navalmoral;05158; Navalmoral
37217 Navalmoral de Béjar;37217; Navalmoral de Béjar
10131 Navalmoral de la Mata;10131; Navalmoral de la Mata
45111 Navalmoralejo;45111; Navalmoralejo
45112 Navalmorales, Los;45112; Navalmorales, Los
05159 Navalonguilla;05159; Navalonguilla
05160 Navalosa;05160; Navalosa
05161 Navalperal de Pinares;05161; Navalperal de Pinares
05162 Navalperal de Tormes;05162; Navalperal de Tormes
13059 Navalpino;13059; Navalpino
45113 Navalucillos, Los;45113; Navalucillos, Los
05163 Navaluenga;05163; Navaluenga
10132 Navalvillar de Ibor;10132; Navalvillar de Ibor
06091 Navalvillar de Pela;06091; Navalvillar de Pela
37218 Navamorales;37218; Navamorales
45114 Navamorcuende;45114; Navamorcuende
05164 Navaquesera;05164; Navaquesera
08140 Navarcles;08140; Navarcles
50186 Navardún;50186; Navardún
40142 Navares de Ayuso;40142; Navares de Ayuso
40143 Navares de Enmedio;40143; Navares de Enmedio
40144 Navares de las Cuevas;40144; Navares de las Cuevas
01041 Navaridas;01041; Navaridas
05165 Navarredonda de Gredos;05165; Navarredonda de Gredos
37219 Navarredonda de la Rinconada;37219; Navarredonda de la Rinconada
28097 Navarredonda y San Mamés;28097; Navarredonda y San Mamés
05166 Navarredondilla;05166; Navarredondilla
46179 Navarrés;46179; Navarrés
26105 Navarrete;26105; Navarrete
05167 Navarrevisca;05167; Navarrevisca
08141 Navàs;08141; Navàs
09230 Navas de Bureba;09230; Navas de Bureba
13060 Navas de Estena;13060; Navas de Estena
19197 Navas de Jadraque, Las;19197; Navas de Jadraque, Las
02054 Navas de Jorquera;02054; Navas de Jorquera
41066 Navas de la Concepción, Las;41066; Navas de la Concepción, Las
40145 Navas de Oro;40145; Navas de Oro
40904 Navas de Riofrío;40904; Navas de Riofrío
40146 Navas de San Antonio;40146; Navas de San Antonio
23063 Navas de San Juan;23063; Navas de San Juan
10133 Navas del Madroño;10133; Navas del Madroño
05168 Navas del Marqués, Las;05168; Navas del Marqués, Las
28099 Navas del Rey;28099; Navas del Rey
31181 Navascués/Nabaskoze;31181; Navascués/Nabaskoze
37221 Navasfrías;37221; Navasfrías
17111 Navata;17111; Navata
05169 Navatalgordo;05169; Navatalgordo
05170 Navatejares;05170; Navatejares
25146 Navès;25146; Navès
10134 Navezuelas;10134; Navezuelas
33041 Navia;33041; Navia
27034 Navia de Suarna;27034; Navia de Suarna
49137 Navianos de Valverde;49137; Navianos de Valverde
31182 Nazar;31182; Nazar
09231 Nebreda;09231; Nebreda
15055 Neda;15055; Neda
19198 Negredo;19198; Negredo
15056 Negreira;15056; Negreira
37222 Negrilla de Palencia;37222; Negrilla de Palencia
27035 Negueira de Muñiz;27035; Negueira de Muñiz
09232 Neila;09232; Neila
05171 Neila de San Miguel;05171; Neila de San Miguel
42130 Nepas;42130; Nepas
29075 Nerja;29075; Nerja
02055 Nerpio;02055; Nerpio
21052 Nerva;21052; Nerva
26106 Nestares;26106; Nestares
18903 Nevada;18903; Nevada
36034 Neves, As;36034; Neves, As
21053 Niebla;21053; Niebla
40148 Nieva;40148; Nieva
26107 Nieva de Cameros;26107; Nieva de Cameros
36035 Nigrán;36035; Nigrán
18143 Nigüelas;18143; Nigüelas
50187 Nigüella;50187; Nigüella
05172 Niharra;05172; Niharra
04066 Níjar;04066; Níjar
18144 Nívar;18144; Nívar
31088 Noáin (Valle de Elorz)/Noain (Elortzibar);31088; Noáin (Valle de Elorz)/Noain (Elortzibar)
23064 Noalejo;23064; Noalejo
45115 Noblejas;45115; Noblejas
24102 Noceda del Bierzo;24102; Noceda del Bierzo
45116 Noez;45116; Noez
27037 Nogais, As;27037; Nogais, As
34112 Nogal de las Huertas;34112; Nogal de las Huertas
06092 Nogales;06092; Nogales
32052 Nogueira de Ramuín;32052; Nogueira de Ramuín
44163 Noguera de Albarracín;44163; Noguera de Albarracín
44164 Nogueras;44164; Nogueras
44165 Nogueruelas;44165; Nogueruelas
15057 Noia;15057; Noia
39047 Noja;39047; Noja
42131 Nolay;42131; Nolay
45117 Nombela;45117; Nombela
50188 Nombrevilla;50188; Nombrevilla
50189 Nonaspe;50189; Nonaspe
33042 Noreña;33042; Noreña
08142 Nou de Berguedà, La;08142; Nou de Berguedà, La
43097 Nou de Gaià, La;43097; Nou de Gaià, La
22162 Novales;22162; Novales
50190 Novallas;50190; Novallas
03093 Novelda;03093; Novelda
46180 Novelé/Novetlè;46180; Novelé/Novetlè
45118 Novés;45118; Novés
42132 Noviercas;42132; Noviercas
50191 Novillas;50191; Novillas
03094 Nucia, la;03094; Nucia, la
22163 Nueno;22163; Nueno
14046 Nueva Carteya;14046; Nueva Carteya
47102 Nueva Villa de las Torres;47102; Nueva Villa de las Torres
50192 Nuévalos;50192; Nuévalos
28100 Nuevo Baztán;28100; Nuevo Baztán
50193 Nuez de Ebro;50193; Nuez de Ebro
12082 Nules;12082; Nules
43098 Nulles;43098; Nulles
45119 Numancia de la Sagra;45119; Numancia de la Sagra
45120 Nuño Gómez;45120; Nuño Gómez
10135 Nuñomoral;10135; Nuñomoral
31183 Obanos;31183; Obanos
14047 Obejo;14047; Obejo
44167 Obón;44167; Obón
45121 Ocaña;45121; Ocaña
19199 Ocentejo;19199; Ocentejo
31185 Ochagavía/Otsagabia;31185; Ochagavía/Otsagabia
26109 Ochánduri;26109; Ochánduri
31184 Oco;31184; Oco
26108 Ocón;26108; Ocón
25148 Odèn;25148; Odèn
08143 Òdena;08143; Òdena
31186 Odieta;31186; Odieta
44168 Odón;44168; Odón
24103 Oencia;24103; Oencia
17112 Ogassa;17112; Ogassa
18145 Ogíjares;18145; Ogíjares
04067 Ohanes;04067; Ohanes
36036 Oia;36036; Oia
20063 Oiartzun;20063; Oiartzun
32053 Oímbra;32053; Oímbra
31187 Oiz;31187; Oiz
26110 Ojacastro;26110; Ojacastro
29076 Ojén;29076; Ojén
30031 Ojós;30031; Ojós
44169 Ojos Negros;44169; Ojos Negros
05173 Ojos-Albos;05173; Ojos-Albos
01042 Okondo;01042; Okondo
20058 Olaberria;20058; Olaberria
31188 Olaibar;31188; Olaibar
31189 Olazti/Olazagutía;31189; Olazti/Olazagutía
44171 Olba;44171; Olba
34113 Olea de Boedo;34113; Olea de Boedo
15058 Oleiros;15058; Oleiros
31190 Olejua;31190; Olejua
08145 Olèrdola;08145; Olèrdola
08146 Olesa de Bonesvalls;08146; Olesa de Bonesvalls
08147 Olesa de Montserrat;08147; Olesa de Montserrat
25149 Oliana;25149; Oliana
45122 Olías del Rey;45122; Olías del Rey
44172 Oliete;44172; Oliete
25150 Oliola;25150; Oliola
31191 Olite/Erriberri;31191; Olite/Erriberri
25151 Olius;25151; Olius
46181 Oliva;46181; Oliva
06093 Oliva de la Frontera;06093; Oliva de la Frontera
06094 Oliva de Mérida;06094; Oliva de Mérida
10136 Oliva de Plasencia;10136; Oliva de Plasencia
35014 Oliva, La;35014; Oliva, La
19200 Olivar, El;19200; Olivar, El
41067 Olivares;41067; Olivares
47103 Olivares de Duero;47103; Olivares de Duero
16139 Olivares de Júcar;16139; Olivares de Júcar
08148 Olivella;08148; Olivella
06095 Olivenza;06095; Olivenza
26111 Ollauri;26111; Ollauri
46183 Olleria, l';46183; Olleria, l'
19201 Olmeda de Cobeta;19201; Olmeda de Cobeta
19202 Olmeda de Jadraque, La;19202; Olmeda de Jadraque, La
16140 Olmeda de la Cuesta;16140; Olmeda de la Cuesta
28101 Olmeda de las Fuentes;28101; Olmeda de las Fuentes
16141 Olmeda del Rey;16141; Olmeda del Rey
16142 Olmedilla de Alarcón;16142; Olmedilla de Alarcón
16143 Olmedilla de Eliz;16143; Olmedilla de Eliz
09235 Olmedillo de Roa;09235; Olmedillo de Roa
47104 Olmedo;47104; Olmedo
37223 Olmedo de Camaces;37223; Olmedo de Camaces
49138 Olmillos de Castro;49138; Olmillos de Castro
09236 Olmillos de Muñó;09236; Olmillos de Muñó
47105 Olmos de Esgueva;47105; Olmos de Esgueva
34114 Olmos de Ojeda;34114; Olmos de Ojeda
47106 Olmos de Peñafiel;47106; Olmos de Peñafiel
44173 Olmos, Los;44173; Olmos, Los
46182 Olocau;46182; Olocau
12083 Olocau del Rey;12083; Olocau del Rey
40149 Olombrada;40149; Olombrada
31192 Olóriz/Oloritz;31192; Olóriz/Oloritz
08149 Olost;08149; Olost
17114 Olot;17114; Olot
25152 Oluges, Les;25152; Oluges, Les
04068 Olula de Castro;04068; Olula de Castro
04069 Olula del Río;04069; Olula del Río
08144 Olvan;08144; Olvan
42134 Ólvega;42134; Ólvega
22164 Olvena;22164; Olvena
11024 Olvera;11024; Olvera
50194 Olvés;50194; Olvés
24104 Omañas, Las;24104; Omañas, Las
25153 Omellons, Els;25153; Omellons, Els
25154 Omells de na Gaia, Els;25154; Omells de na Gaia, Els
42135 Oncala;42135; Oncala
12084 Onda;12084; Onda
03095 Ondara;03095; Ondara
48073 Ondarroa;48073; Ondarroa
03096 Onil;03096; Onil
33043 Onís;33043; Onís
45123 Ontígola;45123; Ontígola
46184 Ontinyent;46184; Ontinyent
22165 Ontiñena;22165; Ontiñena
02056 Ontur;02056; Ontur
24105 Onzonilla;24105; Onzonilla
09238 Oña;09238; Oña
20059 Oñati;20059; Oñati
09239 Oquillas;09239; Oquillas
03097 Orba;03097; Orba
37224 Orbada, La;37224; Orbada, La
31195 Orbaizeta;31195; Orbaizeta
09241 Orbaneja Riopico;09241; Orbaneja Riopico
31196 Orbara;31196; Orbara
05174 Orbita;05174; Orbita
50195 Orcajo;50195; Orcajo
18146 Orce;18146; Orce
23065 Orcera;23065; Orcera
15059 Ordes;15059; Ordes
19203 Ordial, El;19203; Ordial, El
17115 Ordis;17115; Ordis
20076 Ordizia;20076; Ordizia
19204 Orea;19204; Orea
40150 Orejana;40150; Orejana
06096 Orellana de la Sierra;06096; Orellana de la Sierra
06097 Orellana la Vieja;06097; Orellana la Vieja
20905 Orendain;20905; Orendain
50196 Orera;50196; Orera
50197 Orés;50197; Orés
20060 Orexa;20060; Orexa
25155 Organyà;25155; Organyà
45124 Orgaz;45124; Orgaz
18147 Órgiva;18147; Órgiva
04070 Oria;04070; Oria
03099 Orihuela;03099; Orihuela
44174 Orihuela del Tremedal;44174; Orihuela del Tremedal
20061 Orio;20061; Orio
08150 Orís;08150; Orís
31197 Orísoain;31197; Orísoain
08151 Oristà;08151; Oristà
31906 Orkoien;31906; Orkoien
20062 Ormaiztegi;20062; Ormaiztegi
31198 Oronz/Orontze;31198; Oronz/Orontze
45125 Oropesa;45125; Oropesa
12085 Oropesa del Mar/Orpesa;12085; Oropesa del Mar/Orpesa
15060 Oroso;15060; Oroso
38026 Orotava, La;38026; Orotava, La
31199 Oroz-Betelu/Orotz-Betelu;31199; Oroz-Betelu/Orotz-Betelu
48075 Orozko;48075; Orozko
08152 Orpí;08152; Orpí
31211 Orreaga/Roncesvalles;31211; Orreaga/Roncesvalles
44175 Orrios;44175; Orrios
08153 Òrrius;08153; Òrrius
26112 Ortigosa de Cameros;26112; Ortigosa de Cameros
40151 Ortigosa de Pestaño;40151; Ortigosa de Pestaño
40901 Ortigosa del Monte;40901; Ortigosa del Monte
15061 Ortigueira;15061; Ortigueira
48083 Ortuella;48083; Ortuella
28102 Orusco de Tajuña;28102; Orusco de Tajuña
03098 Orxeta;03098; Orxeta
25156 Os de Balaguer;25156; Os de Balaguer
16145 Osa de la Vega;16145; Osa de la Vega
50198 Oseja;50198; Oseja
24106 Oseja de Sajambre;24106; Oseja de Sajambre
50199 Osera de Ebro;50199; Osera de Ebro
05175 Oso, El;05175; Oso, El
17116 Osor;17116; Osor
34116 Osornillo;34116; Osornillo
34901 Osorno la Mayor;34901; Osorno la Mayor
02057 Ossa de Montiel;02057; Ossa de Montiel
22167 Osso de Cinca;22167; Osso de Cinca
25157 Ossó de Sió;25157; Ossó de Sió
41068 Osuna;41068; Osuna
31200 Oteiza;31200; Oteiza
45126 Otero;45126; Otero
49139 Otero de Bodas;49139; Otero de Bodas
40152 Otero de Herreros;40152; Otero de Herreros
18148 Otívar;18148; Otívar
46185 Otos;46185; Otos
48072 Otxandio;48072; Otxandio
